UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
amiloride hcl+cyclopenthiazide 2.5mg/250micrograms tablet	11635201000001116	500001000001101	amiloride hydrochloride+cyclopenthiazide 2.5mg/250micrograms tablet
antazoline phosphate+naphazoline hcl 0.5/0.05% eye drops	4394501000001113	297601000001103	antazoline phosphate+naphazoline hydrochloride 0.5/0.05% eye drops
antazoline sulphate+xylometazoline hcl 0.5/0.05% eye drops	11601901000001116	405801000001107	antazoline sulphate+xylometazoline hydrochloride 0.5/0.05% eye drops
asmanex twisthaler 200mcg breath-actuated dry powder inhaler	12850101000001111	4219601000001104	asmanex twisthaler 200micrograms breath-actuated dry powder inhaler
diltiazem hcl+hydrochlorothiazide 150mg/12.5mg m/r capsule	6595301000001110	2785401000001104	diltiazem hydrochloride+hydrochlorothiazide 150mg/12.5mg m/r capsule
ethinylestradiol+desogestrel 20mcg/150mcg tablet	11712501000001112	722901000001107	ethinylestradiol+desogestrel 20micrograms/150micrograms tablet
ethinylestradiol+levonorgestrel 30mcg/150mcg tablet	11564601000001117	302301000001101	ethinylestradiol+levonorgestrel 30micrograms/150micrograms tablet
ethinylestradiol+norelgestromin 600mcg/6mg transdermal patch	13162401000001110	4330801000001108	ethinylestradiol+norelgestromin 600micrograms/6mg transdermal patch
ethinylestradiol+norethisterone acetate 20mcg/1mg tablet	11686801000001117	652401000001105	ethinylestradiol+norethisterone acetate 20micrograms/1mg tablet
ethinylestradiol+norgestimate 35mcg/250mcg tablet	11484301000001117	81401000001100	ethinylestradiol+norgestimate 35micrograms/250micrograms tablet
ethinyloestradiol+desogestrel 20mcg/150mcg tablet	12227501000001113	722901000001107	ethinyloestradiol+desogestrel 20micrograms/150micrograms tablet
ethinyloestradiol+ethynodiol diacetate 30mcg/2mg tablet	4256301000001112	81101000001106	ethinyloestradiol+ethynodiol diacetate 30micrograms/2mg tablet
ethinyloestradiol+levonorgestrel 30mcg/150mcg tablet	12227701000001119	302301000001101	ethinyloestradiol+levonorgestrel 30micrograms/150micrograms tablet
ethinyloestradiol+norethisterone acetate 20mcg/1mg tablet	12228201000001114	652401000001105	ethinyloestradiol+norethisterone acetate 20micrograms/1mg tablet
ethinyloestradiol+norgestimate 35mcg/250mcg tablet	12228701000001118	81401000001100	ethinyloestradiol+norgestimate 35micrograms/250micrograms tablet
fluphenazine hcl+nortriptyline 500micrograms/10mg tablet	11664001000001116	584401000001103	fluphenazine hydrochloride+nortriptyline 500micrograms/10mg tablet
forsteo 250mcg/ml injection solution 3ml prefilled pen	13050401000001114	4331801000001104	forsteo 250micrograms/ml injection solution 3ml prefilled pen
mebeverine hcl+ispaghula 135mg/3.5g/sachet granules	11556001000001113	282201000001102	mebeverine hydrochloride+ispaghula 135mg/3.5g/sachet granules
minims amethocaine hcl 0.5% single-use eye drops 0.5ml	4855901000001113	960301000001106	minims amethocaine hydrochloride 0.5% single-use eye drops 0.5ml
aloe vera product	102373401000001115	12873801000001109	Aloe Pura Aloe Vera
amylobarb sodium+quinalbarb sodium 50mg/50mg capsule	11688501000001119	657601000001106	Amylobarbitone sodium+quinalbarbitone sodium 50mg/50mg capsule - product
benzoyl perox+potass hydroxyquinoline sulph 5/0.5% lotio-gel	4259401000001112	85801000001100	Benzoyl peroxide+potassium hydroxyquinoline sulphate 5/0.5% lotio-gel
benzoyl perox+potassium hydroxyquin sulphate 10/0.5% crm	11600201000001119	401101000001101	Benzoyl peroxide+potassium hydroxyquinoline sulphate 10/0.5% cream - product
benzoyl perox+potassium hydroxyquinoline sulphate 5/0.5% crm	11669701000001118	605001000001103	Benzoyl peroxide+potassium hydroxyquinoline sulphate 5/0.5% cream - product
chondroitin product	31466601000001119	9743011000001105	Chondroitin sulphate
clarithrom tab+lansopraz cap+metronidaz tab 500/30/400mg pck	1485588012	391587002	Clarithromycin tablet+lansoprazole capsule+metronidazole tablet 500mg/30mg/400mg pack	
clarithromy tab+lansoprazole cap+amoxi cap 500/30/500mg pack	11973001000001110	3451801000001107	Clarithromycin tablet+lansoprazole capsule+amoxycillin capsule 500mg/30mg/500mg pack
clarithromy tab+lansoprazole cap+amoxy cap 500/30/500mg pack	11973001000001110	3451801000001107	Clarithromycin tablet+lansoprazole capsule+amoxycillin capsule 500mg/30mg/500mg pack
co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10	20400701000001117	7587711000001103	Bio-Quinone Q10 10mg capsules (Pharma Nord (UK) Ltd)	
colistimethate na 1million units inj (pdr for recon)	61205501000001117	717801000001105	Colistimethate sodium 1million units injection (pdr for recon)
colistimethate sodium 1million iu powder for nebulisation	12990001000001110	4295901000001105	Colistimethate sodium 1million international units powder for nebulisation - product
colistimethate sodium 2million units inj (pdr for recon)	13048601000001112	4329801000001101	Colistimethate sodium 2million units injection (pdr for recon)
colistin sulphomethate na 1million units inj (pdr for recon)	61205501000001117	717801000001105	Colistimethate sodium 1million units injection (pdr for recon)
colistin sulphomethate sodium 500,000u injection powder	61188301000001115	647701000001103	Colistimethate sodium 500,000units injection (pdr for recon)
conjugated oestrogens 0.3mg / medroxyprogesterone 1.5mg tab	13503901000001115	8459301000001102	Conjugated oestrogens 0.3mg / medroxyprogesterone acetate 1.5mg tablet
easyhaler salbutamol 100mcg breath-actuated dry powder inh	13611101000001112	8451401000001109	Easyhaler Salbutamol 100micrograms breath-actuated dry powder inhaler
evening primrose oil product	14714601000001113	4670411000001100	Evening primrose oil
faslodex 50mg/ml solution for injection 5ml p/f syringe	13508101000001111	8464201000001101	Faslodex 50mg/mL solution for injection 5mL prefilled syringe
fenoterol+ipratropium 100micrograms/40micrograms inhaler	22280201000001118	2963311000001103	Fenoterol 100micrograms/actuation / Ipratropium bromide 40micrograms/actuation breath actuated inhaler 200 dose
ferrous gluc+folic acid+ascorbic acid 250mg/5mg/10mg tablet	11712701000001118	724001000001101	Ferrous gluconate+folic acid+ascorbic acid 250mg/5mg/10mg tablet - product
fluocinolone acetonide+neomycin sulphate 0.025%/0.5% oint	12561201000001117	4152701000001105	Fluocinolone acetonide+neomycin sulphate 0.025%/0.5% ointment - product
food supplement/plant/herbal extract	15405601000001110	7425711000001109	Herbal liquid
gonapeptyl depot 3.75mg inj (pdr for recon)+solv p/f syringe	27471601000001118	5615811000001109	Gonapeptyl Depot 3.75mg powder and solvent for suspension for injection pre-filled disposable devices (Ferring Pharmaceuticals Ltd) 1 pre-filled disposable injection
h.p.m.c in balanced salt solution 2% eye drops	83754401000001111	27159711000001109	Hypromellose 2% in balanced salt solution for intraocular irrigation 5ml vials 5 vial
humatrope(rbe) 18iu(6mg) inj cartridge(pdr for recon)+dil	6646801000001111	2848101000001108	Humatrope(rbe) 18iu(6mg) inj cartridge(pdr for recon)+diluent
indigestion remedy (over the counter)	101277201000001116	12054311000001102	Heartburn and Indigestion liquid (Numark Ltd) 500 ml
minims dexamethasone na phosphate 0.1% s-d eye drops	11244901000001114	3301801000001105	Minims Dexamethasone sodium phosphate 0.1% single-use eye drops
novolizer budesonide 200micrograms/dose cartridge+inhaler	13497601000001112	8451801000001106	Novolizer Budesonide 200micrograms/dose dry powder cartridge and refillable inhaler device
omega-3/fish oil supplement	66575201000001117	19679811000001105	Natures Aid Omega-3 Fish Oil 500mg capsules (Natures Aid Ltd) 180 capsule
paludrine tablet+avloclor tablet 100mg/250mg travel pack	7102401000001119	3334701000001108	Paludrine tablet+Avloclor tablet 100mg/250mg anti-malarial travel pack
paracetamol+diphenhydramine hcl 120/12.5mg/5ml s/f oral soln	11912301000001112	3458701000001109	Paracetamol+diphenhydramine hydrochloride 120mg/12.5mg s/f oral solution - product
paracetamol+prometh hcl 120mg/1.5mg/5ml colour free s/f susp	11915901000001116	3514601000001108	Paracetamol+promethazine hydrochloride 120mg/1.5mg/5mL colour free s/f suspension - product	
pegasys 135micrograms/0.5ml injection prefilled syringe	12538901000001111	4128101000001108	Pegasys 135micrograms/0.5mL solution for injection prefilled syringe
pegasys 180micrograms/0.5ml injection prefilled syringe	12538801000001117	4127401000001101	Pegasys 180micrograms/0.5mL solution for injection prefilled syringe
promixin 1million iu powder for nebulisation	12979301000001112	4284701000001105	Promixin 1million international units powder for nebulisation
pulvinal beclomethasone diprop 100mcg breath-act dry pdr inh	17238901000001115	3112911000001102	Pulvinal Beclometasone Dipropionate 100micrograms/actuation dry powder inhaler (Trinity Pharmaceuticals Ltd) (product)
pulvinal salbutamol 200mcg breath-act dry powder inhaler	17245501000001115	3384111000001103	Pulvinal Salbutamol 200micrograms/actuation dry powder inhaler (Trinity Pharmaceuticals Ltd) (product)
roferon-a-2a 18million iu inj (pdr for recon)+diluent+kit	4306601000001117	159001000001109	Roferon-A-2a 18million iu injection (pdr for recon)+diluent+kit
roferon-a-2a 3million iu inj (pdr for recon)+diluent+kit	4213901000001112	11601000001100	Roferon-A-2a 3million iu injection (pdr for recon)+diluent+kit
roferon-a-2a 4.5miu injection (pdr for recon)+diluent+kit	4539501000001119	523501000001106	Roferon-A-2a 4.5million iu injection (pdr for recon)+diluent+kit
roferon-a-2a 9million iu inj (pdr for recon)+diluent+kit	4257201000001118	82401000001106	Roferon-A-2a 9million iu injection (pdr for recon)+diluent+kit
salbutamol+ipratropium 100micrograms/20micrograms inhaler	Salbutamol+ipratropium bromide 100micrograms/20micrograms inhaler - product
saw palmetto product	39729701000001111	10283111000001106	Health Aid Saw Palmetto 315mg tablets (HealthAid Ltd)
st john's wort/hypericum [ctsu]	41769001000001112	7881511000001101	Valupak St. John's wort tablets (BR Pharmaceuticals Ltd)
tricalcium phosphate 3.3g/sachet powder	12285601000001114	2569501000001103	Tricalcium phosphate 3.3g/sachet powder (equiv to 1.2g/sachet calcium)
unknown supplement
viraferonpeg 100mcg pdr+solv for soln for inj prefilled pen	75474801000001112	22755011000001103	ViraferonPeg 100microgram powder and solvent for solution for injection pre-filled disposable devices CLEARCLICK (Merck Sharp & Dohme Ltd)
